thesis_id,school,department,degree,year_conferred,author_name_standardized,author_name_raw,title,advisor,official_record_url,official_pdf_url,pdf_public_status,source,retrieved_date,notes
MIT-2020-035,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Tomescu Nicolescu, Ioan Alin","Tomescu Nicolescu, Ioan Alin.",How to keep a secret and share a public key (using polynomial commitments),"Devadas, Srinivas",https://hdl.handle.net/1721.1/128298,https://dspace.mit.edu/server/api/core/bitstreams/5eddf7bd-e75c-4388-b6c9-06633512d701/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-036,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Wang, Zi","Wang, Zi,Ph.D.Massachusetts Institute of Technology.",Robot learning with strong priors,"Kaelbling, Leslie Pack; Lozano-Pérez, Tomás",https://hdl.handle.net/1721.1/128299,https://dspace.mit.edu/server/api/core/bitstreams/e4e5f2be-e52a-447f-baf1-2c0a9074f402/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-037,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Kjølstad, Fredrik Berg","Kjølstad, Fredrik Berg.",Sparse tensor algebra compilation,"Amarasinghe, Saman",https://hdl.handle.net/1721.1/128314,https://dspace.mit.edu/server/api/core/bitstreams/7a46f49b-d234-4020-b634-e2fddb0d8a5c/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-038,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Lebedev, Ilia Andreevich","Lebedev, Ilia Andreevich.",Trust less : shrinking the trusted parts of trusted systems,"Devadas, Srinivas",https://hdl.handle.net/1721.1/128315,https://dspace.mit.edu/server/api/core/bitstreams/ff012a7a-185f-4db8-bdc1-b25b3e618839/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-039,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Lazar, David","Lazar, David,Ph.D.Massachusetts Institute of Technology.",Strong and scalable metadata security for voice calls,"Zeldovich, Nickolai",https://hdl.handle.net/1721.1/128316,https://dspace.mit.edu/server/api/core/bitstreams/f1955ced-b344-479a-8272-5f48c471dc8b/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-040,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Leiserson, William Mitchell","Leiserson, William Mitchell.",Defining scalable high performance programming with DEF,"Shavit, Nir",https://hdl.handle.net/1721.1/128317,https://dspace.mit.edu/server/api/core/bitstreams/fd4e2f88-af22-4251-9e32-600e286fc79c/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-041,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Ouyang, Wei","Ouyang, Wei,Ph.D.Massachusetts Institute of Technology.",Hierarchical selective electrokinetic concentration : the universal next-generation biomolecule enrichment technique for molecular diagnostics,"Han, Jongyoon",https://hdl.handle.net/1721.1/128323,https://dspace.mit.edu/server/api/core/bitstreams/7c9b64d9-851f-4725-9324-7728c7dddc13/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-042,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Rezaee, Arman","Rezaee, Arman.",Towards a cognitive network management and control system,"Chan, Vincent W.S.",https://hdl.handle.net/1721.1/128329,https://dspace.mit.edu/server/api/core/bitstreams/e16c81c3-a97f-4455-87aa-ead612456dd5/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-043,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Wang, Cheng","Wang, Cheng,Ph.D.Massachusetts Institute of Technology.","Terahertz wave-molecule interactions via CMOS chips : from comb gas sensor with absolute specificity to ultra-stable, miniaturized clock","Han, Ruonan",https://hdl.handle.net/1721.1/128330,https://dspace.mit.edu/server/api/core/bitstreams/bbf986b6-c237-479d-b02e-2b0f1069e539/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
MIT-2020-044,Massachusetts Institute of Technology,Electrical Engineering and Computer Science,Ph.D.,2020,"Wu, Jiajun","Wu, Jiajun,Ph.D.Massachusetts Institute of Technology.",Learning to see the physical world,"Freeman, William T.; Tenenbaum, Joshua B.",https://hdl.handle.net/1721.1/128332,https://dspace.mit.edu/server/api/core/bitstreams/374f6ba2-52bb-474c-a3f7-b543b0629fde/content,public,"DSpace@MIT (Doctoral Theses collection, REST API)",2026-08-06,
